id,variety,task,input_text,output_text,success
aave_01,AAVE,paraphrase,He finna go to the store. You sliding?,"Yo, my dude's headin' out to grab some stuff from the corner store. Wanna come along for the ride?",True
aave_02,AAVE,explain,Ion think that plan gon’ work.,I ain't convinced dat idea's gonna turn out right.,True
aave_03,AAVE,continue,We was tryna finish that yesterday,"We was doin' our best to get 'er done yesterday, but it was a tough one, ya know?",True
span_01,Spanglish,paraphrase,"Vamos later, it’s muy close to la tienda.","Let's head out pronto, since the store is just a short walk away. We can get there in no time, ¡rápido como un rayo!",True
span_02,Spanglish,explain,"No entiendo bien, pero I think it’s fine.","No comprendo del todo, pero creo que todo está bien. ¿Hay algún problema?",True
span_03,Spanglish,continue,"We can meet en el parque, like at 5.",Let's hang out in the park around five-ish.,True
br_01,BrEng,paraphrase,Put it in the lorry outside the flat.,Leave the package in the truck parked near the apartment building.,True
br_02,BrEng,explain,"Take the lift, not the stairs, to the first floor.","Head on up to the first floor via the elevator, avoiding the strenuous climb up the steps.",True
br_03,BrEng,continue,"We’re off on holiday next week, fancy it?","""Pack your bags, mate, 'cause we're jetting off to some exotic location next week! Are ya keen for a bit of sun and sand?""",True
std_01,StdEng,paraphrase,He is about to head out. Are you coming?,"ERROR: headers: {'access-control-expose-headers': 'X-Debug-Trace-ID', 'cache-control': 'no-cache, no-store, no-transform, must-revalidate, private, max-age=0', 'content-encoding': 'gzip', 'content-type': 'application/json', 'expires': 'Thu, 01 Jan 1970 00:00:00 GMT', 'pragma': 'no-cache', 'vary': 'Origin,Accept-Encoding', 'x-accel-expires': '0', 'x-debug-trace-id': '2d94fc43a5e4409ef7abefa82788f89d', 'date': 'Wed, 01 Oct 2025 19:35:38 GMT', 'x-envoy-upstream-service-time': '8', 'server': 'envoy', 'via': '1.1 google', 'alt-svc': 'h3="":443""; ma=2592000,h3-29="":443""; ma=2592000', 'transfer-encoding': 'chunked'}, status_code: 429, body: {'id': 'ed8b483e-c2b9-4fae-8fc3-22f070149808', 'message': ""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""}",False
std_02,StdEng,explain,Please explain this in simple terms.,"ERROR: headers: {'access-control-expose-headers': 'X-Debug-Trace-ID', 'cache-control': 'no-cache, no-store, no-transform, must-revalidate, private, max-age=0', 'content-encoding': 'gzip', 'content-type': 'application/json', 'expires': 'Thu, 01 Jan 1970 00:00:00 GMT', 'pragma': 'no-cache', 'vary': 'Origin,Accept-Encoding', 'x-accel-expires': '0', 'x-debug-trace-id': '7ff7401b0b0e2d56eab81a2e7b6bfc4d', 'date': 'Wed, 01 Oct 2025 19:35:38 GMT', 'x-envoy-upstream-service-time': '8', 'server': 'envoy', 'via': '1.1 google', 'alt-svc': 'h3="":443""; ma=2592000,h3-29="":443""; ma=2592000', 'transfer-encoding': 'chunked'}, status_code: 429, body: {'id': 'f606b55d-15ee-4f16-833d-20793851b31c', 'message': ""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""}",False
std_03,StdEng,continue,We should wrap this up and send it.,"ERROR: headers: {'access-control-expose-headers': 'X-Debug-Trace-ID', 'cache-control': 'no-cache, no-store, no-transform, must-revalidate, private, max-age=0', 'content-encoding': 'gzip', 'content-type': 'application/json', 'expires': 'Thu, 01 Jan 1970 00:00:00 GMT', 'pragma': 'no-cache', 'vary': 'Origin,Accept-Encoding', 'x-accel-expires': '0', 'x-debug-trace-id': 'aa36ef5870cf7c9a76337ac498cd51a6', 'date': 'Wed, 01 Oct 2025 19:35:38 GMT', 'x-envoy-upstream-service-time': '10', 'server': 'envoy', 'via': '1.1 google', 'alt-svc': 'h3="":443""; ma=2592000,h3-29="":443""; ma=2592000', 'transfer-encoding': 'chunked'}, status_code: 429, body: {'id': 'eb860c83-1643-4d58-baa1-8b632b3607db', 'message': ""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""}",False
